NO;LOKASYON;TARİH;KULLANILAN  ARAÇ;BİLGİ; KOOORDİNAT;OSMANLI TOPRAĞI OLAN YERLER;;;;;;;;;;;;;;;;
28;Badlands;14.05.1884;Bisiklet;Carter’dan sonra yolum elementlerin her türlü şekle yonttuğu kil ve kaya karışımından oluşan Bad-Lands’den geçiyor. Bu şekillerin arasında en belirgin olanı. güneyde ismini doğanın usta eliyle kubbe ve kulelere oymasıyla alan ve belli bir mesafeden muhteşem bir katedrali andıran ‘Church Buttes’ (Kilise Tepeleri) görülebiliyor. (…) Tepeye çıkmış. hüzünlü ve kasvetli bir ifadeyle etrafındaki suya bakan sefalet içindeki yarı çıplak yerliler hayal edilebilir.;43.75032821198738,-99.39624845988845;-;;;;;;;;;;;;;;;;
29;Laramie;20.05.1884;Bisiklet;Şimdi ünlü Laramie düzlüklerine geliyorum. … Laramie düzlüklerine doğru süzüldükçe 1000 milden bu yana aralıksız olarak yolumun etrafında beni takip eden sage-brush iyice azalıyor ve her yerde kısa. besleyici çimlerle kaplanıyor... Rocky Creek’ten ayrılırken Laramie ovasında fırtına bulutları toplanıyor ve kısa bir süre içinde de gösteri başlıyor. …Geceyi Lookout’ta geçirip akşam yemeğine Laramie City’ye yetişmek üzere erkenden yola çıkıyorum. Laramie ovaları istedikleri zaman ‘gülümseyip tatlı görünebilir’ …Laramie nehri. sağımda sırasıyla siyah ve beyaz renklerde yükselen Medicine Bow ve Snowy dağları ve antilop sürüleriyle bezenen aralardaki düzlükler Laramie ovaları dışında hiçbir yerde görülemeyen bir resmi tamamlıyor. … Laramie çevresinde bazı güzel. doğal yollar ve dağlardaki gezilerinde ‘Rocky dağlarının sert bisikletçileri’ doğudaki kardeşlerinin bilmediği riskleri ister istemez alıyor. … Laramie ovaları yeşil. dalgalı bir deniz gibi kuzeye ve batıya uzanıyor. Jelm dağının arkasındaki siyah bir kanyondan çıkan Laramie nehri şimdi üzerinde durduğum birbirine bitişik dağ sıralarının arasında kaybolana kadar bir yılan gibi kıvrılarak akarken önümdeki harika resmin batı sınırını oluşturan dağlık siperlerden doğan Küçük Laramie ve sayısız küçük dereden aldığı güçle büyüyor. … Rocky dağlarının mücevheri” adıyla bilinen Laramie City’de duruyor.;41.31136596272268,-105.59109940840005;-;;;;;;;;;;;;;;;;
30;Cheyenne Wyoming ;04.07.1884;Bisiklet;Şimdi yolum Cheyenne geçidinden geçiyor ve buradan da yokuş aşağı Cheyenne’e gidiyorum. Bu gece 20 üyesi bulunan bir bisiklet kulübü bulduğum Cheyenne’e ulaşıyorum. Magic City (Büyülü Şehir) 4 Temmuz sabahı veda ediyorum ve sırtımı dağlara dönüp doğmakta olan güneşe doğru bisikletimle son derece düzgün yollardan ilerliyorum.;41.13474304439694,-104.82119634065486;-;;;;;;;;;;;;;;;;
31;Sidney;06.07.1884;Bisiklet;Sabah güzel bir havada yola çıkıyorum. Sidney’e yaklaşırken yol iyileşiyor ve bu girişimci kasabaya uygun bir hızla giriyorum. Akşam yemeği için Sidney’de kalmaya kara verip günün geri kalanını yakındaki bir kaleyi ziyaretle geçiriyorum.;40.284217620301845,-84.15550137633328;-;;;;;;;;;;;;;;;;
32;South Amana Lowa;13.07.1884;Bisiklet;Burası South Amana. Amana halkının yaşadığı kasabalardan biri.” gibi medeni bir cevap alıyorum. Soruşturunca Amana halkının 15.000 kişiden oluşan komünist bir Alman toplumu olduğunu öğreniyorum… Her şey aynı Almanya’daki kırsal bir bölgede toplanmış ve hiç değiştirilmeden Iowa’ya getirilip koyulmuş gibi… Tiffin’de gecenin sessizliği kuşların yolculuk boyunca ilk kez duyduğum akıcı şarkılarıyla şenleniyor ve… diğer konserlerin tam tersine zihnimde kalıcı bir etki bıraktı.;41.77611943262754,-91.96741302874094;-;;;;;;;;;;;;;;;;
33;Mississippi;13.07.1884;Bisiklet;“9 gün sonra Iowa şehrindeyken Mississippi nehrindeki buharlı bir geminin düdük sesini duyuyorum. Kaba sesi bana duyduğum en tatlı müzik gibi geliyor çünkü kıtadaki yolculuğumun üçte ikisinin tamamlandığını haber veriyor. Davenport ile Rock Island arasındaki devlet köprüsünün üzerinden ‘Suların Babasını’ (Mississippi nehri) geride bırakıp Illionis’e giriyorum. …Mississippi nehri vadisindeki kumlu kayalardan geçiyor. ancak Rock nehrine yaklaştıkça kum kayboluyor ve belli bir mesafe boyunca bu güzel akıntının yanında dizilen meşe ormanlarının arasında muhteşem bir yol açılıyor.;33.5000018748705,-89.65004261399137;-;;;;;;;;;;;;;;;;
34;Rock Nehri;-;Feribot;Mississippi nehri vadisindeki kumlu kayalardan geçiyor. ancak Rock nehrine yaklaştıkça kum kayboluyor ve belli bir mesafe boyunca bu güzel akıntının yanında dizilen meşe ormanlarının arasında muhteşem bir yol açılıyor… Nehrin gümüş rengindeki pırıltısı boşluklardan parlıyor. kilise çanlarının tatlı sesleri nehirden gelen havayla birlikte süzülüyor ve her şeye barış ve mutluluk getiriyor.;41.93517265574463,-89.45035881696833;-;;;;;;;;;;;;;;;;
35;Illinois, Yorkville;-;Bisiklet;Mississippi nehrini geride bırakıp Illionis’e giriyorum. Birkaç mil boyunca yolum Mississippi nehri vadisindeki kumlu kayalardan geçiyor. ancak Rock nehrine yaklaştıkça kum kayboluyor ve belli bir mesafe boyunca bu güzel akıntının yanında dizilen meşe ormanlarının arasında muhteşem bir yol açılıyor… Karşıdaki feribotçunun kulübesine bağırıyorum ama herhangi bir yanıt alamıyorum… feribotçu sakin bir şekilde yanımıza gelip bizi botla nehrin karşısına geçiriyor. Vasat yollardan bisikletimle ilerlerken dönümü 100 $ olan tarlaların bulunduğu Genesee’den geçip Atkinson’da geceleyip… içimde her şeyin bolca bulunduğu bir bölgeden devam ediyorum… Gece için Lamoille’e doğru pedal çevirirken kasabanın girişken berberi beni çabucak rahat dükkanına alıyor ve tıraş edip şampuanlıyor…Yorkville’den geçerken tanıdık bir sesle karşılaşıyorum. Beni gören iki yerli adamla birlikte bağırınca bizi duyan feribotçu gelip karşıya geçiriyor… Yorkville’de Camp Ground denen bir alanda kamp kuruyorum. Montana’daki Crow yerlileri için arızi bir arazide öğrendiğim selamlaşmayı burada da deniyorum. “Heeeey!” şeklinde iki yıl kadar önce öğrendiğim bu selam… işe yarıyor. çünkü Camp Ground’da beni gören iki adam göz göze gelince kollarını çırparak “çak!” yapıyor ve yere oturup dostça sohbet ediyoruz.;41.639094165163264,-88.44734281660476;-;;;;;;;;;;;;;;;;
36;Ohio Sınırı;17.07.1884;Bisiklet;Ohio’ya girdiğimde halkın tavırları hemen dikkatimi çekiyor. “Ohio’da insanlar tarafımı dikkatle inceliyor. ama saygılı bir şekilde…” Bisikletimi gören her yaştan insan şaşkınlıkla karışık bir hayranlık duyuyor… Bir yerli bana dönerek. “Ohio halkı soğukkanlı ve pratik insanlardır.” diyor. Bu kısa cümle. insanların genel yapısını bir çırpıda özetliyor. Yol kenarına dizilmiş çocuklar neşeyle bana el sallıyor… yaşlı bir adam ise bisikletimin dişli sistemini merakla inceliyor. Kasabalarda karşılaştığım manzara oldukça düzenli: “Kasabalarda düzenli sokaklar. temiz evler ve konuksever insanlar dikkat çekiyor…” Ohio’daki yolculuğum gösterişli manzaralarla dolu değil belki ama… “Ohio’daki yolculuğum sakin ama etkileyici bir biçimde devam ediyor.” Her şey sade. ama bu sadelik içinde bir huzur ve denge hâkim. Bisikletimle ilerlerken Ohio’nun bu ölçülü ve samimi doğası beni derinden etkiliyor…;40.30000088954742,-82.79998164062548;-;;;;;;;;;;;;;;;;
37;Maumee Nehri;17.07.1884;Bisiklet;Girard’ın doğusunda yollar muhteşem. doğa ise zevk verici. Kırmızı tuğladan yapılan okul binaları bile yemeği yeşil koruların arasına yapılmış… Erie’ye kadar olan yol bu şekilde sürekli daha değişken. daha güzel olarak devam ediyor…;41.29698346424443,-84.30938496933197;-;;;;;;;;;;;;;;;;
38;Pennsylvania;24.07.1884;Bisiklet;Girard’ın doğusunda yollar muhteşem. doğa ise zevk verici. Kırmızı tuğladan yapılan okul binaları bile yemeği yeşil koruların arasına yapılmış… Erie’ye kadar olan yol bu şekilde sürekli daha değişken. daha güzel olarak devam ediyor…;40.85000624963021,-77.69999728817855;-;;;;;;;;;;;;;;;;
39;Buffalo,New York;25.07.1184;Bisiklet;"Pennsylvania’ya girdikten 24 saat sonra New York’a geçiyorum. Yollar güzel bir şekilde devam ediyor… Westfield’a ulaşıyorum. Sayısız yerel hayatın. dağlar ve ormanlarla kaplı bu su tabakasının dünyada seyahat edilebilen en yüksek göl olduğuna inanılır…”
“Angola’da geceledikten sonra ertesi sabah Buffalo’ya devam ediyorum… Buffalo bisiklet kulübünün güler yüzlü bir üyesinin misafirperver davetiyle geriye döndüm…";42.88690222499696,-78.87889869956786;-;;;;;;;;;;;;;;;;
40;Niagara Şelaleleri ;25.07.1884;Tren;Küçük çaplı birkaç onarım yapmak için gönüllü olan Isham’a bisikletimi bırakıp trenle Niagara şelalelerine hızlı bir gezi yapıyorum…;43.09621002200887,-79.03774364168582;-;;;;;;;;;;;;;;;;
41;Buffalo, New York;25.07.1884;Tren;Ertesi sabah Buffalo’dan ayrılıp çok şirin bir kulüp odası bulunan Batavia’dan geçiyorum… Buffalo bisiklet kulübünü düdükleriyle Washington’daki polislerin düdüğüyle aynı melodide çalışıyor gibi tanıtıyorlar… Kulüp binasının balkonunda otururken bisikletleriyle kulübe özgü düdükleri çalarak gelen üyeler bizi çeviriyor…;42.88689636671706,-78.87889399926482;-;;;;;;;;;;;;;;;;
42;Genesee Vadisi;26.07.1884;Bisiklet;"Genesee vadisi boyunca bulduğum güzel yollarla ilerliyorum… Geneva’ya giden en düzgün yolu sorduklarında düşkünler evinin yanından geçen dar bir yolu tavsiye ediyorlar…
Ertesi sabah 9’da Geneva’ya ulaşıyorum… Seneca nehrinin güney kenarında kurulmuş olan güzel renkli çok güzel gölünün kenarında duruyorum…";43.116721409682945,-77.64533103660703;-;;;;;;;;;;;;;;;;
43;Geneva ;26.07.1884;Bisiklet;Genesee vadisi boyunca bulduğum güzel yollardan ilerliyorum… Geneva’ya giden en düzgün yolu sorduklarında düşkünler evinin yanından geçen dar bir yolu tavsiye ediyorlar. Yol o kadar karışık ve ben de insanlarla durdurup düşkünler evini sormaya çekinecek kadar hassas durumdayken yönümü kaybediyorum… Karanlıkta doğuya doğru yavaş yavaş bir şekilde devam ederken… Geneva’ya ertesi sabah 9’da ulaşıyorum. Seneca’nın güney kenarında kurulmuş olan. renkli çok güzel gölünün kenarında duruyorum ve iç geçiriyorum.;42.86798341012089,-76.98556595618702;-;;;;;;;;;;;;;;;;
44;Mohawk Vadisi;27.07.1884;Bisiklet;"Mohawk vadisine giriyorum… Büyük bir iştahla. ‘burası tam bir cennet bahçesi ve başta Avrupa olmak üzere dünyanın her yerini dolaşan gezginler. dünyada Mohawk vadisinin muhteşem güzelliğiyle baş edebilecek başka bir yer olmadığını söylüyor…’ Vadinin Küçük Şelale’de. tepelerin arasında daralıp geçide dönüştüğü yer doğal ticaret yollarındandır… ‘Mohawk’ın aktığı vadi ne güzel. Denize akan temiz. pırıl pırıl yolda…’
 Erie kanalı ile Mohawk nehrinin bulunduğu bu dar geçitteki alt demiryolu hattının karşısına taş bile atılabilir… Yüksek yol yatağından aşağı özlem dolu bir bakışla güneye doğru cennetimsi bir rüya gibi uzanan Hudson vadisine bakıp…";42.956782834912374,-74.6273891026275;-;;;;;;;;;;;;;;;;
45;Albany;28.07.1884;Bisiklet;Albany’deki muhteşem Capitol binasından bir saat baktıktan sonra. Hudson’a geçip doğuya doğru yolu güzel bulduğum Boston&Albany demiryolunun iki hattı arasında ilerliyorum… Yüksek yol yatağından aşağı özlem dolu bir bakışla güneye doğru cennetimsi bir rüya gibi uzanan Hudson vadisine bakıp aynı anda iki yolda birden yürüyememenin imkânsızlığıyla iç geçiriyorum. Albany’de. ‘Boston&Albany demiryolunda bisiklet binmenin 50$ cezası olduğunu.’ öğreniyorum. ancak bir ustayı sorduğum Schodack’a kadar riske giriyorum…;42.65181261247085,-73.75447011392752;-;;;;;;;;;;;;;;;;
46;Boston;28.07.1884;Bisiklet;Önce Springfield. oradan Palmer. sonra da Worcester’sa kadar olan mesafeyi değişik ara yollar yerine demir yolu hatlarının arasındaki güzel yollardan geçiyorum… Ertesi sabah Boston’a 40 mil kala. şimdilerde bugünün popüler ulaşım aracı olan lastiklerle geçilen. eski kolonileşme günlerinde ise yolsuz bir arazi olan. haritalarda boşluk olarak görünen Büyük Batı’nın yıpranmış. kutsal kilometre taşlarından geçiyorum…4 Ağustos günü öğleden sonra saat 2’de Boston’a girip Atlantik’in güçlü dalgalarına. 3700 mil pedal çevirdikten sonra 103 buçuk gün önce Pasifik’in üzgün dalgalarından beni ayırırken ne söylediğimi fısıldıyorum…;42.35550758681023,-71.05653935316651;-;;;;;;;;;;;;;;;;
47;Chicago;09.04.1885;Bisiklet;1884–85 kışını New York’ta geçirip Outing Magazine ile tanışıyorum ve Amerika’daki gezimle ilgili taslak çizimlere yardım ediyorum. 1885 ilkbaharında dünya turuna kaldığım yerden devam ediyorum. 9 Nisan’da Chicago’dan gemiyle Liverpool’a gitmek üzere New York’tan ayrılıyorum.;41.88325113035907,-87.63239769641356;-;;;;;;;;;;;;;;;;
48;Liverpool;19.04.1885;Gemi;"9 Nisan’da Chicago’dan gemiyle Liverpool’a gitmek üzere New York’tan ayrılıyorum…
Kuzeybatı Demiryolu Şirketi (Liverpool’daki Northwestern Railway Company) yeni bisikletimi yeraltı depolarına koyuyor… Aynı gün içinde A. Wilson’dan (Faed) Londra’daki Powerscroft House’a çıkmam için bir mektup alıyoruz… Pazartesi günü öğleden sonra Londra’nın öne çıkan bisiklet gazetelerinin ilk sayfalarını hep birlikte işgal ediyoruz…
30 Nisan’da bisikletle İngiltere turunun resmen başlayacağı yer olan Liverpool’a geri dönüyorum… Açıklanan tarih 2 Mayıs günü öğleden sonra saat 4 ve başlangıç noktası da Anfield bisiklet kulübünden bay Lawrence. bay Fletcher ve diğer bazı bisikletçilerin toplanıp şehrin dışına kadar eşlik etmek istediği Edge Hill kilisesi… Liverpool’daki günlük gazetelerin birkaç tanesi olaydan bahsetmişti… Bisikletime binerken şapkalar havada uçuşuyor ve 500 kadar İngiliz’in alkışları yükseliyor. Birkaç polisin yardımıyla Liverpool’lu 25 bisikletli kalabalığın arasından sıyrılıyoruz ve bisikletlerimize binip Edge Line’dan başlayıp Liverpool’un dışına doğru neşeyle hareket ediyoruz…";53.40836982904015,-2.9915706920935907;-;;;;;;;;;;;;;;;;
49;Edge hill;02.05.1885;Bisiklet;"2 Mayıs günü öğleden sonra saat 4 ve başlangıç noktası da Anfield bisiklet kulübünden bay Lawrence. bay Fletcher ve diğer bazı bisikletçilerin toplanıp şehrin dışına kadar eşlik etmek istediği Edge Hill kilisesi… …Bu yüzden belirtilen zamanda doğru yere ulaştığımda bisikletle Amerika’yı geçen ve bunun ötesinde dünyayı dolaşma iddiasında bulunan birinin nasıl göründüğünü merak eden birkaç yüz kişinin toplandığını görüyorum…
Bisikletime binerken şapkalar havada uçuşuyor ve 500 kadar İngiliz’in alkışları yükseliyor…
…Edge Line’dan başlayıp Liverpool’un dışına doğru neşeyle hareket ediyoruz.";53.4068343769749,-2.952961960827603;-;;;;;;;;;;;;;;;;
50;Birmingham;04.05.1885;Bisiklet;"Pazartesi sabahı Birmingham’a doğru ilerlerken. nem kısa ve güvenilmez aralıklarla acımasızca çöküyor… Warwickshire’dan geçip saat 3 civarında Birmingham’a ulaşıyorum…
 …Bisikletimi üç tekerlekli bisikletçilerle birlikte Stonehouse’a kadar sürecek olan bay Priest ile birlikte Coventry’ye doğru yola çıkarıyorum.";52.48227326129607,-1.8900075168943669;-;;;;;;;;;;;;;;;;
51;Coventry;04.05.1885;Bisiklet;"Coventry’ye ulaştığım zaman ‘bisikletle gezi edebiyatı’ okuyucuları tarafından her yerde tanınan ve sevilen bir kişi olan ‘Brother Sturmey’e’ uğruyorum… Coventry’de bir göz atmak için kılavuzumla birlikte dışarı çıkıyorum ve diğer pek çok yerin arasında Starley Memorial’ı (Starley Anıtı) ziyaret ediyorum… Bay Starley aslında bisiklet endüstrisinin doğuşunun ve sonuçta şehrin şu anki refah düzeyinin altında imzası vardır… Yolumun üstündeki İngiliz çocuklarının aklı. beyaz asker kaskımı takıp kaldığım yere doğru döşediğim beyaz bir o kadar da ilginç şakayla karışık yollara düşüyor… Coventry’deki Starley Memorial’ı ima eden bazı muhafazakârlar… bisiklet birliklerinin nikel kaplı ataları geleceğini söylüyor…
Beni General Wolseley olarak adlandırıyor… Beni General Gordon olarak adlandırmak isteyen bir beyaz kasklı. beni İngiltere’deki kimliğini kanıtlamak için başına beyaz bir kask giyip bisiklet üzerinde dolaşmasını kanıtlamaya çalışıyor…";52.4128168233198,-1.5089487347485118;-;;;;;;;;;;;;;;;;
52;Dunchurch Köyü;05.05.1885;Bisiklet;Dunchurch köyü… Köydeki en belirgin yapı. yüzyıllara meydan okuyan alçak. basık bir kilise kulesi. Bu keleden bakıldığında. resme konu olacak güzellikte ilkel mimariyle inşa edilmiş. saman çatılı. tepesine kadar sarmaşık kaplı küçük evler görülüyor. Resmi tamamlamak için. eski güzel zamanların kaba basitliğinde. şanssız sarhoşların ayaklarının kabaca içine koyulduğu eski ağaç kütükleri halen duruyor… Aslında köydeki tek ilkel olmayan. yeni dikilmiş gibi görünen bina küçük bir Methodist kilisesi… Pencere önleri ve soba biçimi. Amerika’ya özgü bir görünüm taşıyor…;52.3372975782653,-1.289397915269055;-;;;;;;;;;;;;;;;;
